# Date                     : 2021-12-07 21:05:57
# Inumpyut                    : <nvaGr_20211202.Baseline instance at 0x369f998>
# Density /A^3             : 0.09
# rcut; g(r < rcut) = 0.0  : 1.3


#           r          G(r)       delta-r    delta-G(r)
        12.98      -1.29017          0.02     0.0290775
           13      -1.42597          0.02     0.0290803
        13.02      -1.57125          0.02     0.0290879
        13.04      -1.71794          0.02     0.0290946
        13.06      -1.85732          0.02      0.029095
        13.08      -1.98088          0.02     0.0290881
         13.1      -2.08132          0.02     0.0290789
        13.12      -2.15336          0.02      0.029075
        13.14      -2.19423          0.02     0.0290814
        13.16      -2.20366          0.02     0.0290961
        13.18      -2.18351          0.02     0.0291098
         13.2      -2.13701          0.02     0.0291122
        13.22      -2.06784          0.02     0.0290997
        13.24      -1.97929          0.02     0.0290795
        13.26      -1.87364          0.02     0.0290654
        13.28      -1.75195          0.02     0.0290676
         13.3      -1.61419          0.02     0.0290837
        13.32       -1.4598          0.02     0.0290997
        13.34      -1.28836          0.02     0.0291009
        13.36      -1.10021          0.02      0.029084
        13.38     -0.896959          0.02     0.0290602
         13.4     -0.681586          0.02     0.0290467
        13.42     -0.458238          0.02     0.0290519
        13.44     -0.231749          0.02      0.029069
        13.46   -0.00703327          0.02     0.0290823
        13.48      0.211491          0.02     0.0290812
         13.5      0.420278          0.02     0.0290691
        13.52      0.616773          0.02      0.029059
        13.54      0.799259          0.02     0.0290614
        13.56      0.966551          0.02     0.0290749
        13.58       1.11765          0.02     0.0290877
         13.6       1.25152          0.02     0.0290897
        13.62       1.36713          0.02     0.0290814
        13.64       1.46373          0.02     0.0290732
        13.66       1.54133          0.02     0.0290753
        13.68       1.60124          0.02     0.0290881
         13.7        1.6465          0.02     0.0291018
        13.72       1.68202          0.02     0.0291051
        13.74        1.7143          0.02     0.0290954
        13.76       1.75079          0.02      0.029081
        13.78       1.79891          0.02     0.0290747
         13.8       1.86499          0.02     0.0290824
        13.82       1.95329          0.02     0.0290984
        13.84       2.06532          0.02     0.0291091
        13.86       2.19963          0.02     0.0291043
        13.88       2.35205          0.02     0.0290849
         13.9       2.51634          0.02     0.0290634
        13.92       2.68501          0.02     0.0290546
        13.94       2.85029          0.02      0.029065
        13.96        3.0048          0.02     0.0290872
        13.98       3.14202          0.02      0.029105
           14       3.25642          0.02      0.029105
        14.02        3.3433          0.02     0.0290868
        14.04       3.39856          0.02     0.0290629
        14.06       3.41841          0.02     0.0290502
        14.08       3.39931          0.02     0.0290571
         14.1        3.3381          0.02     0.0290783
        14.12       3.23241          0.02     0.0290996
        14.14       3.08112          0.02      0.029109
        14.16       2.88486          0.02     0.0291043
        14.18       2.64639          0.02     0.0290933
         14.2       2.37059          0.02     0.0290855
        14.22       2.06423          0.02     0.0290853
        14.24       1.73542          0.02     0.0290897
        14.26        1.3928          0.02     0.0290931
        14.28       1.04482          0.02     0.0290924
         14.3      0.699019          0.02     0.0290884
        14.32      0.361659          0.02     0.0290839
        14.34     0.0375827          0.02     0.0290805
        14.36     -0.269612          0.02     0.0290776
        14.38     -0.557202          0.02      0.029074
         14.4     -0.822898          0.02     0.0290693
        14.42      -1.06446          0.02     0.0290642
        14.44      -1.27947          0.02     0.0290606
        14.46      -1.46531          0.02     0.0290609
        14.48      -1.61938          0.02     0.0290671
         14.5      -1.73937          0.02     0.0290793
        14.52      -1.82373          0.02     0.0290933
        14.54      -1.87193          0.02     0.0291018
        14.56      -1.88477          0.02     0.0290986
        14.58       -1.8644          0.02     0.0290845
         14.6      -1.81429          0.02     0.0290688
        14.62      -1.73898          0.02      0.029063
        14.64      -1.64383          0.02     0.0290713
        14.66      -1.53467          0.02     0.0290858
        14.68      -1.41747          0.02     0.0290922
         14.7      -1.29809          0.02      0.029082
        14.72      -1.18198          0.02     0.0290614
        14.74      -1.07401          0.02     0.0290472
        14.76     -0.978223          0.02     0.0290524
        14.78     -0.897734          0.02     0.0290748
         14.8     -0.834616          0.02     0.0290976
        14.82     -0.789878          0.02     0.0291034
        14.84     -0.763544          0.02     0.0290894
        14.86     -0.754812          0.02     0.0290694
        14.88     -0.762303          0.02     0.0290623
         14.9     -0.784354          0.02     0.0290763
        14.92     -0.819306          0.02     0.0291028
        14.94     -0.865744          0.02      0.029124
        14.96     -0.922617          0.02     0.0291277
        14.98     -0.989246          0.02     0.0291156
           15      -1.06519          0.02     0.0290991
        15.02      -1.15004          0.02     0.0290888
        15.04      -1.24312          0.02      0.029087
        15.06       -1.3433          0.02     0.0290887
        15.08      -1.44881          0.02     0.0290885
         15.1       -1.5572          0.02     0.0290861
        15.12      -1.66546          0.02      0.029084
        15.14      -1.77023          0.02     0.0290836
        15.16      -1.86809          0.02     0.0290823
        15.18      -1.95586          0.02     0.0290767
         15.2      -2.03091          0.02     0.0290672
        15.22      -2.09124          0.02     0.0290599
        15.24      -2.13564          0.02     0.0290613
        15.26      -2.16352          0.02     0.0290731
        15.28       -2.1748          0.02     0.0290889
         15.3      -2.16967          0.02     0.0290986
        15.32      -2.14838          0.02     0.0290964
        15.34      -2.11103          0.02     0.0290845
        15.36      -2.05747          0.02      0.029072
        15.38      -1.98732          0.02     0.0290677
         15.4      -1.90011          0.02     0.0290732
        15.42      -1.79539          0.02     0.0290825
        15.44      -1.67307          0.02     0.0290863
        15.46      -1.53361          0.02     0.0290795
        15.48      -1.37819          0.02     0.0290652
         15.5       -1.2089          0.02     0.0290525
        15.52      -1.02861          0.02     0.0290506
        15.54     -0.840912          0.02     0.0290615
        15.56     -0.649764          0.02     0.0290791
        15.58     -0.459158          0.02     0.0290925
         15.6      -0.27268          0.02     0.0290944
        15.62    -0.0931066          0.02     0.0290856
        15.64     0.0779239          0.02     0.0290748
        15.66      0.240114          0.02     0.0290716
        15.68      0.394537          0.02     0.0290794
         15.7      0.543478          0.02     0.0290932
        15.72      0.690104          0.02     0.0291036
        15.74      0.837986          0.02     0.0291049
        15.76      0.990539          0.02     0.0290986
        15.78       1.15045          0.02     0.0290916
         15.8       1.31916          0.02     0.0290897
        15.82       1.49651          0.02     0.0290928
        15.84       1.68053          0.02     0.0290959
        15.86       1.86749          0.02     0.0290937
        15.88       2.05221          0.02     0.0290858
         15.9       2.22848          0.02     0.0290762
        15.92        2.3897          0.02       0.02907
        15.94       2.52963          0.02     0.0290693
        15.96         2.643          0.02     0.0290726
        15.98       2.72609          0.02     0.0290769
           16       2.77714          0.02     0.0290809
        16.02       2.79644          0.02     0.0290846
        16.04       2.78625          0.02     0.0290884
        16.06       2.75041          0.02     0.0290915
        16.08       2.69385          0.02     0.0290928
         16.1       2.62197          0.02     0.0290916
        16.12       2.54009          0.02     0.0290886
        16.14       2.45297          0.02     0.0290849
        16.16        2.3645          0.02     0.0290817
        16.18       2.27761          0.02     0.0290801
         16.2       2.19435          0.02     0.0290811
        16.22       2.11612          0.02     0.0290845
        16.24       2.04387          0.02     0.0290882
        16.26       1.97832          0.02     0.0290882
        16.28       1.92006          0.02     0.0290816
         16.3       1.86949          0.02       0.02907
        16.32       1.82662          0.02     0.0290599
        16.34       1.79077          0.02     0.0290582
        16.36       1.76025          0.02     0.0290666
        16.38       1.73214          0.02     0.0290795
         16.4       1.70217          0.02     0.0290888
        16.42       1.66485          0.02     0.0290901
        16.44       1.61373          0.02      0.029086
        16.46       1.54196          0.02     0.0290818
        16.48        1.4428          0.02     0.0290794
         16.5       1.31034          0.02     0.0290762
        16.52       1.14001          0.02     0.0290696
        16.54       0.92908          0.02     0.0290628
        16.56      0.676903          0.02     0.0290642
        16.58      0.385066          0.02     0.0290783
         16.6     0.0573108          0.02      0.029098
        16.62     -0.300653          0.02     0.0291081
        16.64     -0.681444          0.02     0.0290972
        16.66      -1.07636          0.02     0.0290704
        16.68      -1.47578          0.02     0.0290475
         16.7      -1.86954          0.02     0.0290479
        16.72      -2.24741          0.02     0.0290741
        16.74       -2.5994          0.02     0.0291088
        16.76      -2.91624          0.02     0.0291286
        16.78      -3.18964          0.02     0.0291224
         16.8      -3.41262          0.02      0.029099
        16.82       -3.5797          0.02     0.0290773
        16.84      -3.68708          0.02     0.0290703
        16.86      -3.73268          0.02      0.029077
        16.88      -3.71615          0.02     0.0290867
         16.9      -3.63885          0.02     0.0290905
        16.92      -3.50379          0.02     0.0290874
        16.94      -3.31557          0.02     0.0290819
        16.96      -3.08026          0.02     0.0290774
        16.98      -2.80528          0.02     0.0290741
           17      -2.49924          0.02     0.0290723
        17.02      -2.17163          0.02     0.0290747
        17.04      -1.83249          0.02     0.0290835
        17.06      -1.49203          0.02     0.0290958
        17.08      -1.16008          0.02      0.029103
         17.1      -0.84572          0.02     0.0290982
        17.12     -0.556857          0.02     0.0290836
        17.14     -0.299955          0.02     0.0290713
        17.16    -0.0799318          0.02     0.0290728
        17.18     0.0998147          0.02     0.0290879
         17.2      0.237261          0.02     0.0291039
        17.22      0.331551          0.02     0.0291057
        17.24      0.382792          0.02     0.0290899
        17.26      0.391924          0.02     0.0290673
        17.28       0.36068          0.02     0.0290539
         17.3      0.291653          0.02     0.0290572
        17.32      0.188423          0.02     0.0290713
        17.34     0.0556925          0.02      0.029084
        17.36     -0.100653          0.02     0.0290878
        17.38     -0.273604          0.02     0.0290846
         17.4     -0.455247          0.02     0.0290801
        17.42     -0.637144          0.02     0.0290774
        17.44     -0.810813          0.02     0.0290748
        17.46     -0.968253          0.02     0.0290707
        17.48      -1.10241          0.02     0.0290674
         17.5      -1.20755          0.02     0.0290693
        17.52      -1.27943          0.02     0.0290766
        17.54      -1.31531          0.02     0.0290837
        17.56      -1.31384          0.02     0.0290841
        17.58      -1.27479          0.02      0.029078
         17.6      -1.19883          0.02     0.0290733
        17.62      -1.08727          0.02     0.0290779
        17.64     -0.941911          0.02     0.0290899
        17.66      -0.76496          0.02     0.0290982
        17.68     -0.558994          0.02     0.0290922
         17.7     -0.326966          0.02     0.0290739
        17.72    -0.0721766          0.02     0.0290585
        17.74      0.201796          0.02     0.0290613
        17.76      0.491229          0.02     0.0290835
        17.78      0.792437          0.02     0.0291094
         17.8       1.10196          0.02     0.0291193
        17.82       1.41669          0.02     0.0291068
        17.84       1.73398          0.02     0.0290838
        17.86       2.05157          0.02     0.0290704
        17.88       2.36742          0.02     0.0290769
         17.9       2.67948          0.02     0.0290959
        17.92       2.98541          0.02     0.0291099
        17.94       3.28234          0.02     0.0291071
        17.96       3.56665          0.02     0.0290904
        17.98       3.83402          0.02     0.0290733
           18       4.07945          0.02     0.0290674
        18.02        4.2976          0.02     0.0290732
        18.04       4.48305          0.02     0.0290826
        18.06       4.63074          0.02     0.0290871
        18.08       4.73627          0.02     0.0290847
         18.1       4.79617          0.02     0.0290795
        18.12       4.80799          0.02     0.0290759
        18.14       4.77028          0.02     0.0290744
        18.16        4.6825          0.02     0.0290732
        18.18       4.54483          0.02     0.0290718
         18.2       4.35798          0.02     0.0290729
        18.22       4.12312          0.02      0.029079
        18.24       3.84184          0.02      0.029089
        18.26       3.51632          0.02      0.029097
        18.28       3.14952          0.02     0.0290966
         18.3       2.74541          0.02     0.0290863
        18.32        2.3092          0.02     0.0290716
        18.34       1.84742          0.02     0.0290623
        18.36       1.36784          0.02     0.0290655
        18.38      0.879199          0.02     0.0290805
         18.4      0.390697          0.02     0.0290982
        18.42     -0.088568          0.02     0.0291063
        18.44     -0.550244          0.02     0.0290976
        18.46     -0.987279          0.02     0.0290754
        18.48      -1.39432          0.02     0.0290529
         18.5      -1.76789          0.02     0.0290445
        18.52      -2.10634          0.02     0.0290561
        18.54      -2.40957          0.02     0.0290794
        18.56      -2.67868          0.02     0.0290974
        18.58      -2.91557          0.02     0.0290969
         18.6      -3.12262          0.02     0.0290786
        18.62      -3.30246          0.02     0.0290571
        18.64      -3.45798          0.02     0.0290497
        18.66      -3.59236          0.02      0.029063
        18.68       -3.7092          0.02     0.0290881
         18.7      -3.81255          0.02     0.0291084
        18.72      -3.90686          0.02     0.0291128
        18.74      -3.99674          0.02     0.0291029
        18.76      -4.08652          0.02     0.0290899
        18.78      -4.17973          0.02     0.0290841
         18.8      -4.27863          0.02     0.0290871
        18.82      -4.38371          0.02     0.0290936
        18.84      -4.49361          0.02     0.0290974
        18.86      -4.60506          0.02     0.0290973
        18.88      -4.71328          0.02     0.0290961
         18.9      -4.81244          0.02     0.0290957
        18.92      -4.89619          0.02     0.0290949
        18.94      -4.95823          0.02     0.0290919
        18.96      -4.99262          0.02     0.0290872
        18.98      -4.99393          0.02      0.029084
           19      -4.95724          0.02     0.0290846
        19.02      -4.87797          0.02     0.0290871
        19.04      -4.75176          0.02     0.0290871
        19.06      -4.57446          0.02     0.0290828
        19.08      -4.34229          0.02     0.0290778
         19.1       -4.0523          0.02     0.0290771
        19.12      -3.70289          0.02     0.0290815
        19.14      -3.29446          0.02     0.0290839
        19.16      -2.82989          0.02     0.0290762
        19.18      -2.31484          0.02     0.0290578
         19.2      -1.75757          0.02     0.0290399
        19.22      -1.16856          0.02     0.0290376
        19.24     -0.559662          0.02     0.0290564
        19.26     0.0568348          0.02     0.0290853
        19.28      0.669163          0.02     0.0291036
         19.3       1.26684          0.02     0.0290975
        19.32       1.84115          0.02     0.0290718
        19.34       2.38518          0.02     0.0290469
        19.36       2.89367          0.02      0.029043
        19.38       3.36247          0.02     0.0290638
         19.4       3.78806          0.02     0.0290946
        19.42       4.16711          0.02     0.0291147
        19.44       4.49625          0.02     0.0291137
        19.46       4.77212          0.02     0.0290983
        19.48       4.99162          0.02      0.029084
         19.5       5.15236          0.02     0.0290816
        19.52       5.25307          0.02     0.0290896
        19.54        5.2939          0.02     0.0290978
        19.56       5.27654          0.02     0.0290979
        19.58       5.20403          0.02     0.0290907
         19.6       5.08044          0.02     0.0290832
        19.62        4.9104          0.02     0.0290818
        19.64       4.69855          0.02     0.0290856
        19.66       4.44929          0.02     0.0290892
        19.68       4.16655          0.02     0.0290878
         19.7       3.85393          0.02     0.0290818
        19.72       3.51493          0.02     0.0290747
        19.74       3.15337          0.02     0.0290697
        19.76       2.77374          0.02     0.0290666
        19.78       2.38149          0.02     0.0290645
         19.8       1.98306          0.02     0.0290647
        19.82       1.58573          0.02     0.0290702
        19.84       1.19725          0.02      0.029082
        19.86      0.825324          0.02     0.0290953
        19.88      0.477047          0.02     0.0291024
         19.9      0.158399          0.02     0.0290983
        19.92     -0.126127          0.02     0.0290867
        19.94     -0.373719          0.02     0.0290774
        19.96     -0.583248          0.02     0.0290785
        19.98     -0.755108          0.02     0.0290894
           20     -0.890945          0.02     0.0291008
        20.02     -0.993318          0.02     0.0291033
        20.04      -1.06537          0.02     0.0290956
        20.06      -1.11053          0.02     0.0290848
        20.08      -1.13226          0.02     0.0290796
         20.1      -1.13392          0.02     0.0290818
        20.12      -1.11862          0.02     0.0290862
        20.14      -1.08914          0.02     0.0290866
        20.16      -1.04791          0.02     0.0290827
        20.18     -0.997004          0.02     0.0290798
         20.2     -0.938098          0.02     0.0290821
        20.22     -0.872503          0.02     0.0290867
        20.24     -0.801182          0.02     0.0290854
        20.26      -0.72478          0.02     0.0290733
        20.28     -0.643662          0.02     0.0290556
         20.3     -0.557964          0.02     0.0290446
        20.32     -0.467642          0.02     0.0290497
        20.34     -0.372546          0.02     0.0290676
        20.36     -0.272494          0.02     0.0290844
        20.38     -0.167389          0.02     0.0290871
         20.4    -0.0573441          0.02     0.0290748
        20.42     0.0571508          0.02     0.0290601
        20.44      0.175056          0.02     0.0290583
        20.46      0.294612          0.02     0.0290746
        20.48      0.413198          0.02     0.0290996
         20.5      0.527259          0.02     0.0291163
        20.52      0.632322          0.02     0.0291141
        20.54      0.723128          0.02     0.0290962
        20.56      0.793875          0.02     0.0290764
        20.58      0.838578          0.02      0.029069
         20.6      0.851502          0.02     0.0290779
        20.62      0.827631          0.02     0.0290953
        20.64      0.763133          0.02     0.0291076
        20.66      0.655762          0.02      0.029105
        20.68      0.505165          0.02     0.0290881
         20.7      0.313047          0.02     0.0290672
        20.72     0.0831945          0.02      0.029056
        20.74     -0.178651          0.02     0.0290622
        20.76     -0.465061          0.02     0.0290828
        20.78     -0.767304          0.02     0.0291048
         20.8       -1.0758          0.02     0.0291133
        20.82      -1.38066          0.02     0.0291018
        20.84      -1.67217          0.02     0.0290771
        20.86      -1.94132          0.02     0.0290565
        20.88      -2.18021          0.02     0.0290558
         20.9      -2.38241          0.02     0.0290775
        20.92      -2.54319          0.02     0.0291083
        20.94       -2.6596          0.02      0.029127
        20.96      -2.73048          0.02     0.0291196
        20.98      -2.75632          0.02     0.0290897
           21      -2.73907          0.02     0.0290565
        21.02      -2.68186          0.02     0.0290416
        21.04      -2.58877          0.02     0.0290537
        21.06      -2.46452          0.02     0.0290828
        21.08      -2.31428          0.02      0.029108
         21.1      -2.14349          0.02     0.0291123
        21.12      -1.95767          0.02     0.0290942
        21.14      -1.76235          0.02     0.0290672
        21.16      -1.56284          0.02      0.029049
        21.18      -1.36414          0.02     0.0290499
         21.2      -1.17062          0.02     0.0290668
        21.22      -0.98586          0.02     0.0290877
        21.24     -0.812338          0.02     0.0291002
        21.26     -0.651241          0.02     0.0290987
        21.28     -0.502335          0.02     0.0290861
         21.3     -0.363988          0.02     0.0290704
        21.32     -0.233347          0.02     0.0290599
        21.34     -0.106684          0.02     0.0290594
        21.36     0.0201236          0.02     0.0290684
        21.38      0.151049          0.02     0.0290807
         21.4      0.289377          0.02      0.029088
        21.42      0.437256          0.02     0.0290851
        21.44       0.59542          0.02     0.0290739
        21.46      0.763095          0.02     0.0290633
        21.48      0.938113          0.02     0.0290629
         21.5       1.11717          0.02     0.0290747
        21.52        1.2962          0.02     0.0290911
        21.54       1.47071          0.02     0.0291006
        21.56       1.63609          0.02     0.0290972
        21.58       1.78782          0.02     0.0290865
         21.6       1.92158          0.02     0.0290806
        21.62       2.03322          0.02     0.0290875
        21.64       2.11884          0.02     0.0291032
        21.66       2.17482          0.02     0.0291149
        21.68         2.198          0.02     0.0291123
         21.7       2.18606          0.02     0.0290969
        21.72       2.13786          0.02     0.0290813
        21.74       2.05398          0.02      0.029078
        21.76       1.93705          0.02     0.0290884
        21.78       1.79199          0.02     0.0291009
         21.8       1.62585          0.02     0.0291013
        21.82       1.44749          0.02      0.029085
        21.84        1.2668          0.02     0.0290616
        21.86       1.09378          0.02     0.0290479
        21.88      0.937553          0.02     0.0290545
         21.9      0.805351          0.02     0.0290778
        21.92       0.70184          0.02     0.0291022
        21.94      0.628698          0.02     0.0291118
        21.96      0.584608          0.02     0.0291005
        21.98        0.5656          0.02     0.0290762
           22      0.565678          0.02     0.0290547
        22.02      0.577598          0.02     0.0290491
        22.04      0.593681          0.02     0.0290619
        22.06      0.606535          0.02      0.029084
        22.08       0.60961          0.02     0.0291013
         22.1      0.597572          0.02     0.0291039
        22.12      0.566501          0.02     0.0290917
        22.14      0.513966          0.02     0.0290742
        22.16      0.439032          0.02     0.0290634
        22.18      0.342244          0.02     0.0290659
         22.2      0.225604          0.02     0.0290787
        22.22      0.092533          0.02     0.0290916
        22.24    -0.0522116          0.02     0.0290952
        22.26     -0.202719          0.02     0.0290869
        22.28     -0.352229          0.02     0.0290731
         22.3     -0.493572          0.02     0.0290637
        22.32     -0.619724          0.02     0.0290656
        22.34     -0.724426          0.02     0.0290771
        22.36     -0.802783          0.02       0.02909
        22.38     -0.851772          0.02     0.0290952
         22.4     -0.870567          0.02      0.029089
        22.42     -0.860662          0.02     0.0290758
        22.44     -0.825745          0.02     0.0290645
        22.46     -0.771365          0.02     0.0290626
        22.48     -0.704427          0.02     0.0290712
         22.5     -0.632587          0.02     0.0290844
        22.52      -0.56361          0.02     0.0290938
        22.54     -0.504771          0.02     0.0290942
        22.56     -0.462333          0.02     0.0290867
        22.58     -0.441161          0.02     0.0290774
         22.6     -0.444477          0.02      0.029073
        22.62     -0.473771          0.02     0.0290763
        22.64     -0.528852          0.02     0.0290849
        22.66     -0.608032          0.02     0.0290937
        22.68     -0.708396          0.02     0.0290983
         22.7     -0.826135          0.02     0.0290983
        22.72     -0.956888          0.02      0.029097
        22.74      -1.09606          0.02     0.0290978
        22.76      -1.23908          0.02     0.0291013
        22.78      -1.38157          0.02      0.029104
         22.8      -1.51948          0.02     0.0291009
        22.82       -1.6491          0.02       0.02909
        22.84      -1.76705          0.02     0.0290755
        22.86      -1.87037          0.02     0.0290658
        22.88      -1.95651          0.02     0.0290678
         22.9      -2.02346          0.02     0.0290804
        22.92      -2.06986          0.02      0.029094
        22.94      -2.09518          0.02     0.0290965
        22.96      -2.09971          0.02     0.0290834
        22.98      -2.08461          0.02     0.0290621
           23      -2.05171          0.02     0.0290478
        23.02      -2.00322          0.02     0.0290511
        23.04      -1.94138          0.02     0.0290695
        23.06      -1.86799          0.02     0.0290886
        23.08      -1.78411          0.02     0.0290939
         23.1      -1.68985          0.02     0.0290827
        23.12      -1.58442          0.02     0.0290666
        23.14      -1.46635          0.02     0.0290609
        23.16      -1.33395          0.02     0.0290716
        23.18      -1.18587          0.02     0.0290903
         23.2      -1.02162          0.02     0.0291018
        23.22     -0.841987          0.02     0.0290978
        23.24     -0.649186          0.02     0.0290832
        23.26     -0.446753          0.02     0.0290707
        23.28     -0.239155          0.02     0.0290694
         23.3    -0.0311935          0.02     0.0290773
        23.32      0.172669          0.02      0.029085
        23.34      0.368946          0.02      0.029086
        23.36      0.555603          0.02     0.0290824
        23.38      0.732288          0.02     0.0290812
         23.4      0.900296          0.02     0.0290862
        23.42       1.06229          0.02     0.0290934
        23.44       1.22186          0.02     0.0290952
        23.46       1.38298          0.02     0.0290885
        23.48       1.54948          0.02     0.0290785
         23.5       1.72464          0.02     0.0290735
        23.52       1.91085          0.02     0.0290773
        23.54       2.10942          0.02     0.0290858
        23.56       2.32047          0.02     0.0290913
        23.58        2.5429          0.02       0.02909
         23.6       2.77442          0.02     0.0290842
        23.62       3.01153          0.02     0.0290788
        23.64       3.24959          0.02     0.0290759
        23.66        3.4829          0.02     0.0290739
        23.68       3.70486          0.02     0.0290717
         23.7       3.90819          0.02     0.0290713
        23.72       4.08531          0.02     0.0290765
        23.74        4.2287          0.02     0.0290874
        23.76       4.33141          0.02     0.0290983
        23.78       4.38745          0.02     0.0291015
         23.8       4.39221          0.02     0.0290945
        23.82       4.34275          0.02     0.0290836
        23.84       4.23795          0.02     0.0290782
        23.86       4.07855          0.02     0.0290834
        23.88       3.86704          0.02     0.0290951
         23.9       3.60751          0.02     0.0291045
        23.92       3.30533          0.02     0.0291058
        23.94       2.96686          0.02     0.0291003
        23.96       2.59904          0.02     0.0290934
        23.98       2.20906          0.02     0.0290881
           24        1.8039          0.02     0.0290827
        24.02       1.39005          0.02     0.0290742
        24.04      0.973154          0.02     0.0290639
        24.06      0.557834          0.02     0.0290574
        24.08      0.147615          0.02     0.0290599
         24.1     -0.254995          0.02     0.0290696
        24.12     -0.648262          0.02     0.0290781
        24.14      -1.03087          0.02     0.0290771
        24.16      -1.40148          0.02     0.0290659
        24.18      -1.75832          0.02     0.0290531
         24.2       -2.0988          0.02     0.0290495
        24.22      -2.41936          0.02     0.0290598
        24.24      -2.71543          0.02     0.0290785
        24.26      -2.98162          0.02     0.0290945
        24.28      -3.21213          0.02     0.0290988
         24.3      -3.40118          0.02     0.0290913
        24.32      -3.54358          0.02     0.0290798
        24.34      -3.63517          0.02     0.0290735
        24.36      -3.67322          0.02     0.0290774
        24.38      -3.65668          0.02     0.0290887
         24.4      -3.58627          0.02     0.0290995
        24.42      -3.46446          0.02     0.0291025
        24.44      -3.29535          0.02     0.0290953
        24.46      -3.08449          0.02     0.0290817
        24.48      -2.83869          0.02     0.0290696
         24.5       -2.5658          0.02     0.0290663
        24.52      -2.27443          0.02     0.0290738
        24.54      -1.97378          0.02     0.0290874
        24.56      -1.67324          0.02     0.0290987
        24.58      -1.38211          0.02     0.0291005
         24.6      -1.10923          0.02     0.0290924
        24.62     -0.862526          0.02     0.0290814
        24.64     -0.648723          0.02     0.0290771
        24.66     -0.472982          0.02     0.0290848
        24.68     -0.338709          0.02     0.0291006
         24.7     -0.247452          0.02     0.0291132
        24.72     -0.198915          0.02     0.0291123
        24.74     -0.191082          0.02     0.0290969
        24.76     -0.220415          0.02     0.0290762
        24.78      -0.28211          0.02     0.0290638
         24.8     -0.370373          0.02     0.0290672
        24.82     -0.478712          0.02     0.0290819
        24.84     -0.600223          0.02     0.0290956
        24.86     -0.727889          0.02     0.0290977
        24.88     -0.854872          0.02     0.0290868
         24.9     -0.974814          0.02     0.0290712
        24.92      -1.08212          0.02     0.0290609
        24.94      -1.17219          0.02     0.0290605
        24.96      -1.24165          0.02     0.0290668
        24.98      -1.28838          0.02     0.0290734
           25      -1.31157          0.02     0.0290761
        25.02      -1.31149          0.02     0.0290754
        25.04      -1.28934          0.02     0.0290745
        25.06      -1.24688          0.02     0.0290756
        25.08      -1.18616          0.02      0.029079
         25.1      -1.10921          0.02     0.0290837
        25.12      -1.01785          0.02     0.0290877
        25.14     -0.913631          0.02     0.0290889
        25.16     -0.797857          0.02     0.0290851
        25.18     -0.671681          0.02     0.0290769
         25.2     -0.536285          0.02     0.0290686
        25.22     -0.393017          0.02     0.0290665
        25.24     -0.243477          0.02     0.0290742
        25.26    -0.0895127          0.02     0.0290873
        25.28     0.0668867          0.02      0.029096
         25.3      0.223778          0.02     0.0290926
        25.32       0.37948          0.02     0.0290788
        25.34      0.532777          0.02     0.0290664
        25.36      0.683042          0.02     0.0290673
        25.38      0.830244          0.02     0.0290831
         25.4      0.974828          0.02     0.0291028
        25.42       1.11748          0.02     0.0291115
        25.44       1.25883          0.02     0.0291025
        25.46       1.39912          0.02     0.0290835
        25.48       1.53795          0.02     0.0290695
         25.5       1.67411          0.02     0.0290713
        25.52       1.80564          0.02     0.0290869
        25.54        1.9299          0.02     0.0291037
        25.56       2.04388          0.02     0.0291094
        25.58       2.14453          0.02     0.0290999
         25.6       2.22908          0.02     0.0290811
        25.62       2.29533          0.02     0.0290645
        25.64       2.34179          0.02     0.0290588
        25.66       2.36767          0.02     0.0290667
        25.68       2.37287          0.02     0.0290829
         25.7       2.35773          0.02      0.029098
        25.72       2.32285          0.02     0.0291022
        25.74       2.26897          0.02     0.0290919
        25.76       2.19692          0.02     0.0290726
        25.78       2.10765          0.02      0.029057
         25.8       2.00243          0.02     0.0290573
        25.82       1.88306          0.02     0.0290754
        25.84       1.75211          0.02     0.0290999
        25.86       1.61306          0.02     0.0291137
        25.88       1.47026          0.02     0.0291069
         25.9        1.3288          0.02     0.0290847
        25.92       1.19407          0.02     0.0290643
        25.94       1.07132          0.02     0.0290608
        25.96      0.964994          0.02     0.0290752
        25.98      0.878213          0.02     0.0290939
           26      0.812332          0.02     0.0291005
        26.02      0.766681          0.02     0.0290892
        26.04      0.738562          0.02     0.0290692
        26.06      0.723484          0.02     0.0290558
        26.08      0.715593          0.02     0.0290577
         26.1      0.708239          0.02     0.0290708
        26.12      0.694587          0.02     0.0290828
        26.14       0.66818          0.02      0.029085
        26.16      0.623403          0.02     0.0290783
        26.18      0.555791          0.02     0.0290707
         26.2      0.462186          0.02     0.0290694
        26.22      0.340758          0.02     0.0290748
        26.24      0.190938          0.02     0.0290821
        26.26     0.0133034          0.02     0.0290871
        26.28     -0.190537          0.02     0.0290897
         26.3     -0.418032          0.02     0.0290919
        26.32     -0.665759          0.02     0.0290942
        26.34     -0.929474          0.02     0.0290944
        26.36      -1.20419          0.02     0.0290902
        26.38       -1.4843          0.02     0.0290836
         26.4      -1.76378          0.02     0.0290794
        26.42      -2.03645          0.02     0.0290813
        26.44      -2.29631          0.02     0.0290866
        26.46      -2.53792          0.02     0.0290888
        26.48      -2.75666          0.02     0.0290835
         26.5        -2.949          0.02     0.0290742
        26.52      -3.11258          0.02     0.0290696
        26.54      -3.24612          0.02     0.0290761
